date,asset,shares,price,market_value,weight_pct,score,bucket,days_held,is_core_asset
2025-01-11,GOOGL,15,191.37,2880.6,2.9037,0.0,Risk Assets,1,false
2025-01-11,DAI,3000,1.0,2999.7,3.0238,0.0,High Beta,1,false
2025-01-11,AAPL,12,243.36,2842.2,2.865,0.0,Risk Assets,1,false
2025-01-11,DIS,27,111.37,2933.55,2.9571,0.0,Risk Assets,1,false
2025-01-12,SPHB,33,89.17,2937.33,2.9635,0.0,High Beta,1,false
2025-01-12,PFE,112,26.7,2992.64,3.0193,0.0,Risk Assets,1,false
2025-01-12,TSLA,7,381.48,2763.18,2.7878,0.0,Risk Assets,1,false
2025-01-12,SOL,14,208.1,2637.6,2.6611,0.0,Unknown,1,false
2025-01-12,RKLB,120,25.02,3229.2,3.2579,0.0,Risk Assets,1,false
2025-01-12,CSCO,50,58.84,2937.0,2.9631,0.0,Risk Assets,1,false
2025-01-12,COST,3,914.33,2810.82,2.8358,0.0,Risk Assets,1,false
2025-01-12,NOW,2,1059.3,2049.14,2.0674,0.0,Risk Assets,1,false
2025-01-12,CRM,9,332.1,2860.65,2.8861,0.0,Unknown,1,false
2025-01-12,CRWD,8,349.23,2790.72,2.8155,0.0,Risk Assets,1,false
2025-01-12,NVDA,21,140.01,2854.11,2.8795,0.0,Risk Assets,1,false
2025-01-12,AMT,16,181.25,2775.36,2.8,0.0,Risk Assets,1,false
2025-01-12,XLY,22,222.64,4858.04,4.9013,0.0,Cyclicals,1,false
2025-01-12,WMT,33,90.15,3069.0,3.0963,0.0,Risk Assets,1,false
2025-01-12,MSFT,7,421.08,2932.65,2.9587,0.0,Risk Assets,1,false
2025-01-12,CME,12,231.64,2750.4,2.7749,0.0,Risk Assets,1,false
2025-01-12,COP,29,100.62,2955.68,2.982,0.0,Risk Assets,1,false
2025-01-12,KO,48,61.9,2931.36,2.9574,0.0,Risk Assets,1,false
2025-01-12,APH,43,69.45,3018.6,3.0455,0.0,Risk Assets,1,false
2025-01-12,JPM,12,243.89,2878.44,2.904,0.0,Risk Assets,1,false
2025-01-12,MA,5,522.53,2523.35,2.5458,0.0,Risk Assets,1,false
2025-01-12,AVGO,12,233.59,2691.72,2.7157,0.0,Risk Assets,1,false
